SA1_MAINCODE_2011,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
50503110525,512,Pearce,1,Good,Good,0
50503110526,512,Pearce,1,Good,Good,0
50503110527,512,Pearce,1,Good,Good,0
50503110528,512,Pearce,1,Good,Good,0
50503110529,512,Pearce,1,Good,Good,0
50503110530,512,Pearce,1,Good,Good,0
50503110531,512,Pearce,1,Good,Good,0
50503110532,512,Pearce,1,Good,Good,0
50503110533,512,Pearce,1,Good,Good,0
50503110534,512,Pearce,1,Good,Good,0
50503110535,512,Pearce,1,Good,Good,0
50503110536,512,Pearce,1,Good,Good,0
50503110537,512,Pearce,1,Good,Good,0
50503110601,512,Pearce,1,Good,Good,0
50503110701,512,Pearce,1,Good,Good,0
50503110702,512,Pearce,1,Good,Good,0
50503110703,512,Pearce,1,Good,Good,0
50503110704,512,Pearce,1,Good,Good,0
50503110705,512,Pearce,1,Good,Good,0
50503110706,512,Pearce,1,Good,Good,0
50503110707,512,Pearce,1,Good,Good,0
50503110708,512,Pearce,1,Good,Good,0
50503110709,512,Pearce,1,Good,Good,0
50503110710,512,Pearce,1,Good,Good,0
50503110711,512,Pearce,1,Good,Good,0
50503110712,512,Pearce,1,Good,Good,0
50503110713,512,Pearce,1,Good,Good,0
50503110714,512,Pearce,1,Good,Good,0
50503110715,512,Pearce,1,Good,Good,0
50503110716,512,Pearce,1,Good,Good,0
50503110717,512,Pearce,1,Good,Good,0
50503110718,512,Pearce,1,Good,Good,0
50503110719,512,Pearce,1,Good,Good,0
50503110720,512,Pearce,1,Good,Good,0
50503110721,512,Pearce,1,Good,Good,0
50503110722,512,Pearce,1,Good,Good,0
50503110723,512,Pearce,1,Good,Good,0
50503110724,512,Pearce,1,Good,Good,0
50503110725,512,Pearce,1,Good,Good,0
50503110801,512,Pearce,1,Good,Good,0
50503110802,512,Pearce,1,Good,Good,0
50503110803,512,Pearce,1,Good,Good,0
